Brand,Model,Type,Gender,Size,Color,Material,Price,Initial Price,Discount (%),Price Category,Color Diversity Score,Is Just In,Is Best Seller,Is Coming Soon,Is Member Product,Is Sustainable Materials,Is Launching in SNKRS,Is Sold Out,Is Available in SNKRS,Is Customize,Marketing Appeal Score,Sale Quantity
Skechers,GOrun Mojo 2.0,Running,Men,US 8,Black,Mesh,240.1062105172407,278.0641636567361,13.650789314351798,4,1,1,1,0,1,1,1,1,0,0,4,845
Nike,Air Max 95,Running,Men,US 9,Grey,Leather/Synthetic,136.56320044189385,161.2970889936679,15.334367598379306,2,3,1,0,0,1,0,0,0,0,1,1,453
Adidas,NMD_R1,Running,Women,US 8.5,Pink,Primeknit,97.97482255118894,125.26867160732283,21.788248175642327,1,4,0,0,0,1,0,0,1,0,1,2,274
Nike,React Infinity Run Flyknit 2,Running,Women,US 9,Purple,Flyknit,63.28876887115498,74.53473258289063,15.088219038324086,1,2,1,0,1,0,1,0,0,1,1,4,210
Fila,Original Fitness,Casual,Men,US 10.5,Black,Leather,183.27708271564128,203.66014068664325,10.008368796309465,3,1,0,1,1,0,1,1,0,1,0,6,85
Asics,Gel-Lyte III,Lifestyle,Women,US 9,Black/Grey,Leather/Suede,139.8699484079284,151.21700456290696,7.503822858928628,2,1,0,0,0,1,1,0,1,0,1,4,430
Puma,Calibrate Runner,Running,Men,US 10,Black/Yellow,Mesh,204.2245631703773,249.3919940744272,18.111018788586442,4,2,0,1,1,1,0,1,1,0,1,4,702
Adidas,Ultra Boost 21,Running,Men,US 9.5,Black,Primeknit,77.84907422351904,97.58494155226026,20.22429589525547,1,3,1,0,0,0,1,0,1,0,1,10,367
Skechers,Go Run Mojo,Running,Men,US 8,Black,Mesh,110.83974392725617,143.1332307101765,22.561837403300032,2,2,1,0,1,1,0,1,0,0,0,10,757
Skechers,D'Lites,Walking,Women,US 8,White,Leather,76.29782397959633,87.85699680604155,13.156803950360327,1,2,1,0,0,0,1,0,0,1,0,2,712
Nike,Air Zoom Pegasus 38,Running,Men,US 12,Blue,Mesh,176.26151061839775,212.93540627062407,17.22301438475511,3,3,1,1,0,0,0,0,0,0,0,9,505
New Balance,327,Retro,Men,US 12,Grey/Orange,Suede/Mesh,185.56264006200885,208.4837338921726,10.994188084725353,3,2,0,1,0,0,1,1,1,0,1,10,318
Asics,Gel-Quantum 360 6,Running,Women,US 6,Pink,Mesh/Synthetic,174.1320959649168,220.04886344322344,20.866623330755804,3,3,1,1,0,1,1,0,0,0,0,8,393
New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,158.70764346852923,204.23237102589064,22.290652225542747,3,3,0,1,1,1,0,0,0,0,0,8,89
Asics,Gel-Venture 8,Trail,Women,US 9.5,Grey,Mesh,63.92822963248115,86.93985436695107,26.468441777396695,1,2,1,1,1,1,1,1,0,1,0,5,799
Fila,Disruptor II,Fashion,Women,US 9,White,Leather/Synthetic,242.67888684271009,288.7173226703288,15.94585160384977,4,4,1,0,1,1,1,0,0,0,0,3,463
Nike,React Infinity Run Flyknit,Running,Men,US 12,Black,Flyknit,221.13921876750788,270.98552570745903,18.39445365571387,4,3,1,0,0,1,1,1,1,1,1,6,429
Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,78.14230560975169,121.1589321747096,35.504296540785376,1,2,1,1,1,0,1,1,0,1,0,9,271
Converse,Chuck 70,Skate,Women,US 6.5,White,Canvas,178.96652080446276,222.76137471467192,19.65998547383029,3,3,1,1,1,1,1,0,1,0,1,8,330
Nike,Air Force 1,Casual,Women,US 8,White,Leather,69.07985546264213,89.04020490700573,22.41723215395825,1,4,0,0,0,0,0,0,1,0,1,7,274
Puma,Suede Classic,Casual,Women,US 8.5,Pink,Suede,72.5160780823874,105.58417403669765,31.31917851894816,1,4,1,1,0,0,0,0,0,0,1,8,506
Fila,Spaghetti,Fashion,Men,US 8,White/Navy,Leather/Synthetic,192.0485597246623,204.73879628335703,6.198256895645477,3,1,1,0,0,0,1,1,0,0,1,4,203
Fila,Disruptor Low,Fashion,Men,US 9.5,White/Navy,Synthetic,242.80348142354046,256.6001988964073,5.376736858429609,4,3,1,1,1,1,1,0,1,0,1,6,329
Skechers,Max Cushioning Premier,Running,Women,US 7.5,Pink,Mesh,218.289510616952,268.2452150982836,18.62314839913477,4,3,1,0,1,1,0,1,0,1,1,5,402
Converse,Chuck 70,Casual,Women,US 7.5,Pink,Canvas,207.2556398768066,230.32120985384304,10.014522757879465,4,2,0,1,0,1,0,0,1,1,0,2,88
Asics,GT-2000 10,Running,Women,US 9,Black,Mesh,52.52150399515181,92.44886047710565,43.18858693974015,1,3,1,1,1,1,1,0,0,1,1,8,778
Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Pink,Mesh,117.46910935381854,159.7357114748912,26.46033359153787,2,1,0,0,0,1,0,1,0,1,0,3,805
Reebok,Club C Revenge,Casual,Women,US 8.5,Pink/White,Leather,182.20285084946406,226.5237816897532,19.565685558345066,3,4,1,0,1,1,1,0,1,1,1,5,670
Reebok,Nano X1 Adventure,Training,Men,US 11,Black,Knit,190.50810030696138,240.41323220304764,20.758063705053264,3,4,0,1,0,1,1,0,0,0,0,8,622
Reebok,Classic Nylon,Casual,Men,US 12,Navy,Nylon,106.85481858550334,126.51467799577804,15.5395877551305,2,1,0,1,1,1,1,0,1,0,1,9,538
Skechers,Go Run Mojo,Running,Women,US 9.5,Grey/Pink,Mesh,243.20950102573545,254.82353410012342,4.557676792059824,4,3,0,0,1,0,1,0,1,1,0,9,994
Adidas,Yeezy Boost 350,Lifestyle,Women,US 8.5,Clay Brown,Primeknit,244.05142194521142,270.49908266499483,9.777356898669437,4,3,0,1,1,1,0,0,0,0,0,5,986
Puma,Cali Sport,Lifestyle,Men,US 8.5,Black/White,Leather,215.34147194829748,230.54469874145536,6.594481190047905,4,1,0,0,0,0,0,1,1,0,1,2,247
New Balance,Fresh Foam More v2,Running,Men,US 9,Grey,Mesh,107.68108756374914,118.57812313023135,9.189752105044086,2,2,1,0,0,0,0,0,0,1,1,7,325
Adidas,Superstar,Casual,Men,US 8.5,Black/White,Leather,80.42085664445457,104.83792973011401,23.290304519096004,1,4,0,1,0,0,1,1,0,1,1,7,221
Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Canvas,166.3244585978387,207.67398864084817,19.910789171829997,3,1,1,0,1,0,0,0,0,1,1,8,833
Nike,Air Zoom Pegasus 38,Running,Men,US 12,Blue,Mesh,176.26151061839775,208.9087382674006,15.627506977336104,3,1,0,0,0,1,1,0,1,0,0,8,557
Puma,Calibrate Runner,Running,Men,US 10.5,Blue,Mesh,65.79383243816572,88.30495200657988,25.49247698672299,1,3,0,1,1,1,1,1,0,1,0,5,454
Skechers,Go Run Mojo,Running,Women,US 7,Black,Mesh,133.55219585501993,169.72587607472872,21.31300250515829,2,4,1,0,0,0,0,0,0,1,1,1,320
Puma,Clyde All-Pro,Basketball,Men,US 9.5,Black,Leather,76.88702588162437,96.1677530939768,20.04905656214196,1,3,0,0,0,0,1,0,1,0,1,4,984
Fila,Mindblower,Fashion,Women,US 7.5,Pink,Leather,142.5351210130787,153.1103788559621,6.906950346476521,2,1,0,0,1,0,1,1,1,0,0,4,603
Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,78.14230560975169,118.71644106720879,34.177351588974034,1,2,0,0,1,1,1,1,1,1,1,3,750
Nike,Blazer Mid '77,Casual,Men,US 9.5,White,Leather,144.2574334796329,179.2071568741933,19.502414972799176,2,4,0,1,0,0,0,0,1,0,0,8,821
Puma,Calibrate Runner,Running,Women,US 7,Grey,Mesh,228.5116454972949,269.0037504773333,15.052617262096629,4,1,1,0,0,0,1,1,0,1,1,3,713
New Balance,327,Lifestyle,Women,US 7.5,Green,Suede/Nylon,230.38803934983002,241.94556001733665,4.77690959349635,4,1,0,1,1,1,0,1,0,0,1,5,180
Fila,Mindblower,Fashion,Women,US 8,Pink,Leather/Synthetic,95.22506624993439,138.70985136316048,31.349456931777148,1,2,0,0,1,0,1,1,0,1,0,2,675
Adidas,Ultraboost DNA,Running,Women,US 6,Blue,Primeknit,217.1651855821032,251.94623358355534,13.804948582379732,4,1,1,1,0,1,0,1,0,0,0,6,434
Reebok,Classic Nylon,Casual,Women,US 8,Black/White,Nylon/Suede,52.02623680554868,84.56205083405428,38.47566811305739,1,1,1,0,1,1,1,0,1,0,1,6,783
Nike,SB Dunk Low,Skate,Men,US 9.5,Orange,Leather,244.83888876327143,279.8234506878527,12.502369561444326,4,4,0,1,0,0,0,0,1,0,0,8,446
New Balance,FuelCell Propel V3,Running,Women,US 8.5,Pink/White,Mesh,107.77698778183313,152.3543176565677,29.258986919700813,2,4,0,0,0,0,0,1,0,1,1,8,615
Nike,KD13,Basketball,Men,US 11,Blue,Mesh,95.43591140470298,128.91337166705927,25.968958711915107,1,4,1,0,0,0,1,0,1,1,0,1,899
Converse,Chuck 70,Casual,Women,US 9,Red,Canvas,144.7619656795893,177.99998087511648,18.673044250969177,2,3,0,0,1,1,1,1,1,1,1,5,345
Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,239.41813342170383,289.04529970433447,17.169338623874687,4,2,1,0,0,1,1,0,1,0,1,2,432
Vans,Sk8-Hi,Skate,Men,US 8.5,Black/White,Suede/Canvas,51.984764225567126,92.25397090830984,43.650377632813026,1,4,0,1,0,1,1,0,1,0,1,10,561
Nike,React Infinity Run Flyknit 2,Running,Women,US 8.5,Pink,Flyknit,52.43135429547736,80.12310651352277,34.5615059413251,1,3,1,1,1,0,0,1,1,0,0,5,444
Fila,F-13,Fashion,Men,US 10,White,Leather,84.97628743519188,123.272167436509,31.066120437154886,1,3,1,0,1,0,1,1,0,1,0,10,603
Vans,Era,Skate,Men,US 8.5,Red,Canvas,210.79170151050405,236.3609203781756,10.817870749005797,4,2,1,1,1,0,0,0,0,0,0,9,654
New Balance,Fresh Foam Beacon v3,Running,Women,US 9,Grey,Mesh,183.32009580932385,202.47511430866382,9.460431008888849,3,2,0,0,0,0,1,0,1,1,0,4,309
Reebok,Legacy Lifter,Weightlifting,Men,US 10.5,Black,Leather,140.80032423922296,174.67439931473334,19.392695900717026,2,1,0,0,1,0,0,0,1,1,1,8,330
Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,146.4082116224165,193.53549554697457,24.350718606613135,2,3,0,1,1,0,0,1,0,1,0,1,405
Nike,Air Force 1,Casual,Women,US 8,White,Leather,69.07985546264213,116.24543626326064,40.574135481588094,1,4,0,1,0,1,0,0,0,1,0,8,469
Fila,Mindblower,Fashion,Women,US 7.5,White/Blue,Leather/Synthetic,246.97168055249517,270.6478916767148,8.747975451624992,4,2,1,1,0,1,1,1,1,1,0,6,241
Fila,Trailblazer,Hiking,Women,US 8,Beige,Leather/Synthetic,235.27652134601735,266.3836199948851,11.677556844322886,4,3,1,0,0,1,1,1,1,0,1,8,686
Fila,Mindblower,Fashion,Women,US 8,Pink,Leather/Synthetic,95.22506624993439,113.69050219272884,16.2418457009643,1,4,1,0,0,0,0,1,1,0,0,6,477
New Balance,574,Casual,Men,US 10,Grey,Suede/Mesh,112.24349901267871,162.06874339263405,30.743278029401854,2,3,0,1,1,1,0,0,0,0,0,3,857
Reebok,Classic Nylon,Casual,Men,US 10.5,Black,Nylon,141.85303943464277,191.0977557493602,25.769384952540086,2,2,0,0,0,1,0,1,1,0,1,8,397
Adidas,Ultraboost 4.0,Running,Women,US 7,Blue,Primeknit,106.00746591009789,141.98782309839578,25.340452725557988,2,1,0,1,1,1,0,0,1,0,1,5,478
Vans,Slip-On,Skate,Women,US 8,Black/White,Canvas,147.11793993187956,189.2945023189785,22.280923043410723,2,3,1,1,0,0,0,1,1,0,1,10,441
Puma,Suede Classic+,Casual,Women,US 7,Black,Suede,123.74143417295905,162.34544062430706,23.778928624601026,2,4,0,1,0,0,1,0,1,1,1,5,390
Reebok,Nano 9,Cross-training,Men,US 10,Black,Mesh/Synthetic,222.027938669887,255.75426743146573,13.187005284522325,4,2,0,1,1,1,0,0,1,0,1,7,596
Reebok,Nano 9,Crossfit,Women,US 7,Black,Mesh,204.584296375223,216.71821625477892,5.59893860758387,4,1,1,1,1,0,1,1,1,1,1,6,989
Puma,Future Rider Play On,Lifestyle,Women,US 9,Yellow,Synthetic/Textile,242.80576943310274,270.9963431352092,10.402566092207834,4,4,1,1,1,0,1,1,1,1,1,9,451
Skechers,Max Cushioning,Running,Women,US 7.5,Navy,Mesh,195.41135232307803,232.40280440977446,15.916955985381659,3,4,0,0,0,0,1,0,1,1,0,7,96
New Balance,FuelCell Rebel V2,Running,Men,US 11,Black/Yellow,Mesh,80.31901496001987,117.42027951536726,31.59698197660294,1,4,1,0,0,0,0,0,0,1,1,3,714
Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,225.4181162036378,250.34302094053314,9.956301015803449,4,3,0,1,1,1,0,1,0,1,1,5,799
Fila,Trailblazer,Fashion,Men,US 9,Green/Orange,Leather/Synthetic,124.23448468752551,171.90216415384674,27.729540056086925,2,2,1,1,1,0,0,1,0,0,1,9,474
Adidas,NMD_R1,Running,Women,US 8.5,Black/Pink,Primeknit,244.4010659263074,261.09534721577865,6.393940553706795,4,4,1,1,0,1,0,0,1,0,1,10,566
Puma,Calibrate Runner,Running,Men,US 8.5,Black,Mesh,51.56831815438336,81.5826960030058,36.79012746467289,1,3,1,0,1,1,1,0,0,0,1,2,686
Puma,Calibrate Runner,Running,Men,US 10,Grey,Mesh,217.0960451484389,254.7314042104718,14.774526595447451,4,2,0,1,1,0,1,1,0,1,0,1,928
Asics,Gel-Kayano 27,Running,Women,US 8.5,Purple,Mesh/Synthetic,66.34506914935565,104.23050138502802,36.34774056753635,1,2,0,1,0,0,1,0,0,0,0,8,377
Asics,Gel-Quantum 180,Running,Women,US 7.5,Grey,Mesh,56.93405334529666,92.87961161604929,38.70123662806246,1,3,0,1,1,0,0,1,0,0,0,8,136
Fila,Ray,Fashion,Men,US 11,White,Synthetic,111.26269975564253,132.27422829371693,15.884824133252915,2,3,1,0,0,1,0,1,0,1,0,2,564
Asics,Gel-Kayano 28,Running,Women,US 7,White/Pink,Mesh,95.20579956319995,111.45406231066482,14.578439233712986,1,4,1,1,0,1,0,1,1,1,0,8,214
Converse,All Star Lift,Casual,Women,US 6.5,Black,Canvas,118.48959576694267,153.9272088400111,23.02231901697223,2,2,1,0,0,1,0,1,0,0,0,5,272
Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,89.38514089068568,123.35722553626319,27.539598509850382,1,1,1,0,1,1,0,0,1,1,0,2,910
Skechers,Go Walk 5,Walking,Women,US 8.5,Black,Mesh,51.101159832084164,68.2754002436538,25.154360648608552,1,3,0,1,1,1,0,1,1,1,1,7,346
New Balance,327,Lifestyle,Men,US 10,Blue/Orange,Suede/Mesh,95.06338599024701,133.26895181306955,28.668017046019685,1,2,0,0,1,1,1,1,0,1,1,7,965
Converse,All Star Hi,Casual,Women,US 7,Black,Canvas,87.0660359057429,115.27291557508914,24.469650592790117,1,2,0,0,1,1,1,0,1,0,1,3,500
Converse,Pro Leather,Casual,Men,US 9.5,White/Green,Leather,146.4082116224165,183.11863528654263,20.04734450247619,2,4,1,0,0,0,0,0,0,1,1,1,392
Converse,Chuck 70,Casual,Men,US 9,Red,Canvas,193.6662350744008,237.16091826520682,18.33973468687948,3,1,1,1,0,1,1,1,1,1,1,4,985
Converse,Jack Purcell,Casual,Women,US 7.5,Egret/Black,Canvas,207.78649435520146,224.57563149827837,7.475938965891596,4,4,0,0,1,1,1,1,1,1,1,2,390
Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,51.53280652984507,62.29860124971854,17.280957363263607,1,1,1,1,1,1,1,1,0,1,0,4,510
Reebok,Classic Nylon,Casual,Men,US 9.5,Black,Nylon,116.43820662312092,157.6023100789524,26.11897213639186,2,1,0,1,1,1,1,1,1,1,1,8,441
Puma,RS-2K,Lifestyle,Women,US 7.5,Black,Mesh/Suede,82.60706738631819,116.99496439242283,29.392630003083937,1,3,1,1,1,0,0,1,1,0,1,2,950
New Balance,FuelCell Rebel v2,Running,Women,US 8.5,Grey/Green,Mesh,202.35963827553945,240.3452210604243,15.804592501273424,4,2,1,0,0,1,1,1,1,0,1,1,586
Asics,Gel-Quantum 360 6,Running,Women,US 6,Pink,Mesh/Synthetic,174.1320959649168,217.6582949644625,19.997491483911656,3,2,0,1,1,1,0,0,1,1,0,3,600
Reebok,Nano 9,Crossfit,Men,US 11.5,Black,Mesh,128.49163724589602,170.60407463887603,24.684309259389593,2,2,0,0,0,0,0,0,1,1,0,10,470
Nike,Air Force 1,Casual,Women,US 8,White,Leather,69.07985546264213,117.51666133979512,41.21696900246318,1,1,1,0,1,0,1,1,1,0,0,7,430
Converse,Chuck 70,Skate,Women,US 6.5,White,Canvas,178.96652080446276,210.4039239585475,14.941452879119469,3,2,0,0,1,1,0,0,1,0,1,6,666
Nike,React Infinity Run Flyknit 2,Running,Men,US 9.5,Black/White,Flyknit,241.48960380761923,271.02942911401544,10.899120956333318,4,3,0,0,1,1,1,0,1,1,1,6,54
Adidas,NMD_R1,Lifestyle,Women,US 8,White/Black,Primeknit,65.37241505523271,91.44790305086191,28.514035998317443,1,1,1,1,0,1,0,1,0,1,1,7,697
Fila,Memory Fresh 2,Walking,Men,US 10,White,Synthetic,58.40493503428106,74.55257674804923,21.65940121471482,1,1,1,1,1,1,0,0,1,0,0,8,53
Fila,Original Fitness,Casual,Men,US 11,White/Navy,Leather,62.454621176377124,95.35891049165802,34.50573118508874,1,1,1,0,0,1,1,0,0,1,0,3,730
New Balance,574,Casual,Men,US 8,Grey,Suede/Mesh,121.7431050834027,142.82360605644186,14.75981566010065,2,1,0,1,0,1,1,1,0,1,1,3,365
New Balance,Fresh Foam 1080v11,Running,Men,US 11.5,Blue,Mesh,101.30601248884956,148.15831297736858,31.62313308445661,1,3,1,1,1,0,0,1,1,0,0,10,871
Fila,Trailblazer,Fashion,Men,US 9,White/Grey,Leather,110.78928024814476,144.11691241922867,23.12541367395906,2,2,1,1,0,0,1,1,1,0,1,8,967
New Balance,FuelCell Propel v2,Running,Men,US 9,Blue/Green,Mesh,59.62856719567069,93.34217441599509,36.11830068375528,1,3,1,0,0,1,0,0,0,0,0,7,127
Vans,Slip-On,Skate,Women,US 6.5,Checkered,Canvas,115.0208030863398,139.2177895214202,17.380671333929943,2,2,1,1,0,1,1,1,0,0,0,10,580
Reebok,Aztrek 96,Casual,Women,US 9,Purple,Synthetic,167.74630442626398,179.8258785053723,6.717372482485848,3,3,1,0,1,1,0,0,0,1,0,5,766
Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Suede/Canvas,132.35310831690168,143.6228589318212,7.846766662867616,2,4,0,1,0,0,0,1,1,1,1,4,404
New Balance,327,Lifestyle,Men,US 8.5,Blue/Orange,Suede/Nylon,113.77336366422776,140.70676943035565,19.14151385549284,2,4,1,0,0,1,0,1,1,1,0,6,885
Reebok,Nano X1,Training,Men,US 10,Blue,Mesh,249.56417113639563,262.94678626028514,5.089476587343554,4,4,1,0,1,0,0,1,1,1,1,9,82
Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,78.14230560975169,112.41618383135724,30.488384370903397,1,4,0,0,1,0,0,1,0,0,1,6,711
Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,133.31316569645844,178.55208592204474,25.33653975083633,2,1,1,1,0,1,1,0,1,0,1,8,754
Skechers,D'Lites Fresh Start,Walking,Men,US 10.5,Black,Leather,143.99765363158733,189.3142462923362,23.93723322373303,2,1,1,0,0,0,0,0,1,1,0,1,188
New Balance,574,Casual,Men,US 9,Black/Grey,Suede/Textile,158.70764346852923,195.06945987381852,18.64044552581941,3,3,0,1,0,1,1,1,1,1,0,6,321
New Balance,Fresh Foam More v3,Running,Men,US 12,Black/Grey,Mesh,106.13664310319487,124.58591636211212,14.808474182020676,2,3,1,0,0,0,1,0,1,1,0,2,245
Reebok,Zig Kinetica,Running,Men,US 12,Black,Mesh,52.341322146180815,96.8611954005357,45.96254781933929,1,4,0,1,1,1,0,1,0,0,1,3,176
Adidas,Superstar,Casual,Women,US 8.5,White/Black,Leather,219.3937708414121,264.8375082539404,17.15910171188985,4,2,1,0,1,1,0,1,1,0,0,6,398
Asics,Gel-Kayano 27,Running,Women,US 9,Black,Mesh,190.45175320633285,208.3178966044512,8.576384309429796,3,4,0,1,0,0,1,0,1,0,0,2,792
Asics,Gel-Quantum 360 6,Running,Women,US 9,Grey/Green,Mesh,184.1464623811668,223.6435058119939,17.66071556042871,3,3,0,0,1,0,0,0,0,1,1,4,93
Adidas,Yeezy Boost 350,Fashion,Women,US 8,Cream White,Primeknit,218.54238043211097,240.0031623891959,8.941874658419504,4,4,1,0,0,0,0,1,1,1,1,6,791
Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,78.14230560975169,120.24791810386887,35.01566859373549,1,3,0,0,1,1,1,1,0,1,1,5,777
Puma,RS-X,Lifestyle,Men,US 9,Black,Leather,153.59210554251578,203.48162153865988,24.517946937367753,3,4,0,1,1,0,1,1,0,0,0,6,293
Asics,Gel-Quantum 360 6,Running,Men,US 9.5,Blue,Mesh,164.34919662874972,175.55023684192543,6.38053266955242,3,2,1,0,0,0,1,0,1,1,0,6,58
Converse,Jack Purcell,Casual,Women,US 6,Navy,Canvas,83.190979059157,129.08561369079428,35.5536401922922,1,4,1,0,0,1,1,1,0,0,1,8,811
Asics,Gel-Excite 8,Running,Women,US 9,Pink,Mesh,134.5096856623889,169.41490700633523,20.603394329780585,2,2,0,0,0,1,1,1,1,1,0,9,761
Skechers,Arch Fit Refine,Walking,Women,US 6.5,Navy,Mesh,171.4179157437508,220.35322051034365,22.207664881528594,3,2,1,0,0,0,1,1,0,1,1,5,895
Puma,Suede Classic,Lifestyle,Men,US 8.5,Black/White,Suede,160.54141514370906,189.14179584476616,15.1211320445166,3,3,0,1,1,0,0,1,0,0,0,6,128
Adidas,NMD_R1,Lifestyle,Women,US 8,Pink/White,Primeknit,58.484459641378336,102.37997686423329,42.87509976786287,1,2,0,0,1,0,1,1,1,0,1,6,806
New Balance,Fresh Foam Hierro v6,Trail,Men,US 10,Black/Red,Mesh/Synthetic,76.34300571581872,88.83876845974982,14.065664079520138,1,1,1,0,0,1,1,1,0,1,0,6,239
Fila,F-13,Fashion,Men,US 10,White,Leather,84.97628743519188,108.3874494383237,21.599513711643894,1,1,1,1,1,1,0,0,1,0,1,2,135
Reebok,Floatride Energy 3,Running,Men,US 9,Black,Mesh,190.52675461710328,203.20741612715167,6.240255277944091,3,1,0,1,1,0,0,1,1,0,1,4,534
Asics,Gel-Kinsei OG,Running,Women,US 8.5,White/Black,Mesh,72.89752761318103,121.91125295234384,40.20443080699261,1,3,1,1,0,1,0,1,1,0,1,1,320
Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,221.6354106314328,264.31436692230625,16.14704368431804,4,1,1,0,0,0,0,0,1,0,0,1,823
Asics,Gel-Nimbus 23,Running,Women,US 8,Purple,Mesh,180.8349202948149,224.93681714465373,19.606348755916425,3,3,0,1,1,0,0,0,0,0,0,1,562
Fila,Mindblower,Fashion,Women,US 7,White,Synthetic,154.29192774429438,201.81053700165015,23.546148760789045,3,3,0,1,0,1,0,1,1,1,0,7,69
New Balance,Fresh Foam 880v11,Running,Women,US 10,Grey,Mesh,120.59170069047131,133.99584013526274,10.003399681109917,2,1,0,1,0,0,1,0,0,1,1,1,538
Skechers,Max Cushioning Elite,Running,Women,US 7,Grey/Pink,Mesh,165.65967988407215,191.0835835846055,13.305121886243295,3,2,0,0,1,0,0,1,1,1,1,6,981
Adidas,NMD_R1,Lifestyle,Women,US 8,Pink,Primeknit,170.69861920867572,183.54001477043582,6.996510040506195,3,4,0,0,1,1,0,0,0,1,1,2,179
Vans,SK8-Hi,Skate,Women,US 7.5,Pink,Suede/Canvas,227.73181605307974,246.16354011508088,7.48759302591454,4,3,0,0,0,0,0,0,0,0,1,6,887
Asics,Gel-Kinsei OG,Running,Women,US 8.5,White/Black,Mesh,72.89752761318103,92.07215869468791,20.825656043419308,1,1,1,1,1,0,0,1,0,1,1,6,819
Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,64.23165703468656,92.99594547658971,30.930690896781204,1,3,0,0,0,1,1,0,0,0,1,3,692
Nike,Air Force 1,Casual,Men,US 8.5,White,Leather,112.37277158337665,133.11525828152236,15.582350938521195,2,2,1,1,0,0,0,1,1,1,1,8,56
Asics,Gel-Quantum 90,Running,Men,US 11,Grey,Mesh,242.02712088108944,256.0662451537999,5.482614182231716,4,2,1,1,1,0,0,0,1,1,1,4,901
Nike,Air Force 1,Casual,Men,US 10.5,White,Leather,202.2075580501566,218.9072016139209,7.628640556657838,4,1,0,1,1,1,1,1,0,0,1,7,802
Converse,Chuck 70,Casual,Women,US 8.5,Ivory,Canvas,117.77212986775032,133.66315240983397,11.888858115031633,2,3,1,0,0,1,1,0,0,1,0,4,753
New Balance,FuelCell Propel V3,Running,Women,US 8.5,Black,Mesh,234.19890421931518,283.12197613580713,17.279856754399265,4,4,0,1,0,1,1,1,1,1,1,1,986
Asics,Gel-Quantum 90,Running,Men,US 10,Grey,Mesh,166.01776693389093,206.38946721062987,19.560930517611048,3,4,1,1,0,0,0,1,0,1,0,6,359
Asics,Gel-Quantum 180,Running,Women,US 7.5,Black/White,Mesh,228.04300052723488,276.7534591380174,17.600668393629913,4,3,0,0,1,1,1,1,0,1,1,5,858
New Balance,FuelCell Rebel v2,Running,Women,US 9,Green/Black,Mesh,196.8887864151183,224.47840587543465,12.290544987042592,3,3,0,1,0,0,1,1,1,1,0,9,676
Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,91.77654480103274,112.91128406753901,18.7180045298788,1,3,0,1,1,1,1,0,0,1,1,9,950
Reebok,DMX Thrill,Running,Men,US 10,Black,Mesh,176.82842765914737,218.76015554751484,19.167900015165184,3,1,0,1,0,0,0,1,0,1,0,8,522
Puma,Clyde Hardwood,Basketball,Men,US 8,Red/Black,Leather,202.90555893094353,225.9557156525894,10.201183296060478,4,2,1,0,1,0,0,0,1,0,1,7,151
Nike,Air Max 90,Running,Men,US 8.5,White,Leather,55.08955198115017,77.0648869293641,28.515366496749706,1,4,1,1,0,1,1,0,0,1,1,2,387
Nike,Air Force 1,Casual,Men,US 9,White,Leather,111.95757184181986,131.2578115301331,14.704069390858654,2,1,1,0,1,0,0,1,1,1,1,8,368
Nike,Air Force 1,Casual,Men,US 9,White,Leather,64.616312405403,79.8034715343724,19.030699839201986,1,3,1,0,0,0,0,1,1,1,0,3,562
Adidas,Superstar,Casual,Men,US 8.5,Black/White,Leather,80.42085664445457,100.67937908512522,20.12181901076476,1,3,1,1,0,1,0,0,1,1,1,6,74
Reebok,Nano X,Crossfit,Men,US 10.5,Black,Synthetic,103.0652275110934,127.2780174500489,19.023544225504597,2,2,0,1,0,0,0,0,1,1,0,10,770
Asics,Gel-Quantum 360 6,Running,Women,US 8.5,Black,Mesh,185.42412794700186,222.38389627283107,16.619804286765984,3,3,0,1,0,0,0,0,0,1,0,7,479
Vans,Sk8-Hi,Skate,Men,US 9,Black/White,Suede/Canvas,176.87273777433742,189.3753314631155,6.602018115127728,3,1,0,1,1,0,1,1,1,0,0,6,192
Reebok,Nano X1 Adventure,Training,Men,US 10,Khaki,Textile/Leather,136.08548206419803,154.50575965081174,11.922065318629,2,1,0,0,1,1,1,1,1,1,0,5,758
Reebok,Classic Nylon,Casual,Men,US 11.5,Blue/White,Nylon,203.21295530706053,245.5739009187276,17.249775099547886,4,2,0,0,1,1,1,0,0,1,0,4,706
